DATE,PRICE,SPACE,CATEGORIES
2020-05-19,1220.00,62,"APARTMENT, FLAT"
2020-02-14,1370.00,68,"APARTMENT, FLAT"
2020-10-24,1220.00,75,"APARTMENT, FLAT"
2019-02-19,1235.00,63,APARTMENT
2019-08-07,2660.00,112,APARTMENT
2019-01-09,725.00,34,APARTMENT
2018-04-13,3933.00,,SHOP
2019-07-26,495.00,32,APARTMENT
2020-05-15,1280.00,59,"APARTMENT, FLAT"
2018-10-05,3047.00,,SHOP
2019-07-10,1825.00,83,APARTMENT
2019-08-20,2490.00,122,APARTMENT
2018-07-22,2040.00,94,APARTMENT
2020-05-05,4760.00,261,"APARTMENT, FLAT"
2020-11-26,1230.00,58,"APARTMENT, FLAT"
2019-11-20,1470.00,86,APARTMENT
2019-02-06,1500.00,60,APARTMENT
2020-09-19,1260.00,67,"APARTMENT, FLAT"
2020-04-03,1295.00,62,"APARTMENT, FLAT"
2020-02-26,2945.00,124,"APARTMENT, FLAT"
2019-11-21,585.00,28,APARTMENT
2020-09-02,1850.00,104,"APARTMENT, FLAT"
2018-09-14,1880.00,85,APARTMENT
2020-07-29,2045.00,98,"APARTMENT, FLAT"
2019-01-18,1800.00,91,APARTMENT
2021-01-07,1280.00,65,"APARTMENT, FLAT"
2020-04-08,1750.00,,OFFICE
2020-02-19,1910.00,104,"APARTMENT, FLAT"
2020-09-03,575.00,30,"APARTMENT, FLAT"
2019-06-07,2510.00,86,APARTMENT
2019-11-30,1485.00,99,APARTMENT
2019-03-27,1650.00,89,APARTMENT
2019-03-13,1185.00,86,APARTMENT
2021-01-10,1180.00,63,"APARTMENT, FLAT"
2018-07-19,1460.00,70,APARTMENT
2020-01-08,1700.00,97,"APARTMENT, FLAT"
2018-12-19,1460.00,70,APARTMENT
2019-03-09,1755.00,81,APARTMENT
2018-07-31,2385.00,126,APARTMENT
2019-07-25,1460.00,70,APARTMENT
2019-07-25,3575.00,156,APARTMENT
2020-06-18,1875.00,90,"APARTMENT, DUPLEX"
2020-05-26,1995.00,87,"APARTMENT, FLAT"
2018-05-24,1440.00,72,APARTMENT
2019-04-12,1065.00,58,APARTMENT
2018-07-12,3580.00,173,APARTMENT
2019-08-30,1065.00,51,APARTMENT
2018-06-15,1575.00,88,APARTMENT
2020-01-22,820.00,49,"APARTMENT, FLAT"
2020-10-21,895.00,49,"APARTMENT, FLAT"
2019-07-24,1590.00,82,APARTMENT
2019-10-24,4500.00,216,APARTMENT
2019-12-13,2245.00,113,APARTMENT
2020-08-29,1760.00,111,"APARTMENT, FLAT"
2019-07-25,1240.00,,OFFICE
2019-04-11,1650.00,86,APARTMENT
2019-03-20,2490.00,122,APARTMENT
2020-12-12,1190.00,61,"APARTMENT, FLAT"
2018-04-28,1750.00,95,APARTMENT
2019-01-05,1671.00,87,APARTMENT
2020-07-11,1645.00,76,"APARTMENT, FLAT"
2020-08-26,2171.00,121,"APARTMENT, FLAT"
2020-09-02,1890.00,107,"APARTMENT, FLAT"
2019-08-23,2530.00,123,APARTMENT
2020-08-18,3500.00,140,"APARTMENT, FLAT"
2020-09-25,2320.00,118,"APARTMENT, FLAT"
2018-12-08,1125.00,50,APARTMENT
2019-04-17,1410.00,89,APARTMENT
2018-04-13,,,SHOP
2019-07-24,1755.00,81,APARTMENT
2019-07-10,802.00,69,APARTMENT
2019-10-15,890.00,38,APARTMENT
2020-02-15,1490.00,87,"APARTMENT, FLAT"
2019-07-24,5630.00,193,APARTMENT
2020-12-04,2175.00,118,"APARTMENT, FLAT"
2020-01-07,1470.00,70,"APARTMENT, FLAT"
2018-03-28,4365.00,187,APARTMENT
2019-10-03,1880.00,110,APARTMENT
2020-11-16,1200.00,61,"APARTMENT, FLAT"
2018-11-16,1540.00,85,APARTMENT
2019-02-12,1575.00,102,APARTMENT
2018-12-01,1850.00,139,APARTMENT
2020-07-08,735.00,,OFFICE
2019-03-01,1380.00,72,APARTMENT
2020-06-11,1665.00,95,"APARTMENT, FLAT"
2020-07-22,1965.00,107,"APARTMENT, FLAT"
2020-07-01,1475.00,93,"APARTMENT, FLAT"
2019-05-04,1116.00,79,APARTMENT
2019-02-14,1825.00,81,APARTMENT
2019-10-10,1215.00,56,APARTMENT
2020-07-29,1748.00,91,"APARTMENT, FLAT"
2018-11-05,3690.00,143,APARTMENT
2020-07-01,1660.00,105,"APARTMENT, FLAT"
2018-04-27,5317.00,,OFFICE
2019-01-05,1470.00,88,APARTMENT
2020-05-05,1151.00,84,"APARTMENT, FLAT"
